2016-04-20 22:03:19 startup archives install
2016-04-20 22:03:19 install base-passwd:i386 <none> 3.5.39
2016-04-20 22:03:19 status half-installed base-passwd:i386 3.5.39
2016-04-20 22:03:19 status unpacked base-passwd:i386 3.5.39
2016-04-20 22:03:19 status unpacked base-passwd:i386 3.5.39
2016-04-20 22:03:19 configure base-passwd:i386 3.5.39 3.5.39
2016-04-20 22:03:19 status unpacked base-passwd:i386 3.5.39
2016-04-20 22:03:19 status half-configured base-passwd:i386 3.5.39
2016-04-20 22:03:19 status installed base-passwd:i386 3.5.39
2016-04-20 22:03:19 startup archives install
2016-04-20 22:03:19 install base-files:i386 <none> 9.4ubuntu4
2016-04-20 22:03:19 status half-installed base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 configure base-files:i386 9.4ubuntu4 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status half-configured base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 status installed base-files:i386 9.4ubuntu4
2016-04-20 22:03:19 startup archives install
2016-04-20 22:03:19 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2016-04-20 22:03:19 status half-configured dpkg 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg 1.18.4ubuntu1
2016-04-20 22:03:19 status half-installed dpkg 1.18.4ubuntu1
2016-04-20 22:03:19 status half-installed dpkg 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 configure dpkg:i386 1.18.4ubuntu1 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 status half-configured dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 status installed dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:19 startup archives install
2016-04-20 22:03:19 install libc6:i386 <none> 2.23-0ubuntu3
2016-04-20 22:03:19 status half-installed libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:20 status unpacked libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:20 status unpacked libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:20 configure libc6:i386 2.23-0ubuntu3 2.23-0ubuntu3
2016-04-20 22:03:20 status unpacked libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:20 status unpacked libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:20 status half-configured libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:20 status installed libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:20 startup archives install
2016-04-20 22:03:20 install perl-base:i386 <none> 5.22.1-9
2016-04-20 22:03:20 status half-installed perl-base:i386 5.22.1-9
2016-04-20 22:03:20 status unpacked perl-base:i386 5.22.1-9
2016-04-20 22:03:20 status unpacked perl-base:i386 5.22.1-9
2016-04-20 22:03:20 configure perl-base:i386 5.22.1-9 5.22.1-9
2016-04-20 22:03:20 status unpacked perl-base:i386 5.22.1-9
2016-04-20 22:03:20 status half-configured perl-base:i386 5.22.1-9
2016-04-20 22:03:20 status installed perl-base:i386 5.22.1-9
2016-04-20 22:03:20 startup archives install
2016-04-20 22:03:20 install mawk:i386 <none> 1.3.3-17ubuntu2
2016-04-20 22:03:20 status half-installed mawk:i386 1.3.3-17ubuntu2
2016-04-20 22:03:20 status unpacked mawk:i386 1.3.3-17ubuntu2
2016-04-20 22:03:20 status unpacked mawk:i386 1.3.3-17ubuntu2
2016-04-20 22:03:20 configure mawk:i386 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-04-20 22:03:20 status unpacked mawk:i386 1.3.3-17ubuntu2
2016-04-20 22:03:20 status half-configured mawk:i386 1.3.3-17ubuntu2
2016-04-20 22:03:20 status installed mawk:i386 1.3.3-17ubuntu2
2016-04-20 22:03:20 startup archives unpack
2016-04-20 22:03:21 install adduser:all <none> 3.113+nmu3ubuntu4
2016-04-20 22:03:21 status half-installed adduser:all 3.113+nmu3ubuntu4
2016-04-20 22:03:21 status unpacked adduser:all 3.113+nmu3ubuntu4
2016-04-20 22:03:21 status unpacked adduser:all 3.113+nmu3ubuntu4
2016-04-20 22:03:21 upgrade base-files:i386 9.4ubuntu4 9.4ubuntu4
2016-04-20 22:03:21 status half-configured base-files:i386 9.4ubuntu4
2016-04-20 22:03:21 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:21 status half-installed base-files:i386 9.4ubuntu4
2016-04-20 22:03:21 status half-installed base-files:i386 9.4ubuntu4
2016-04-20 22:03:21 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:21 status unpacked base-files:i386 9.4ubuntu4
2016-04-20 22:03:21 upgrade base-passwd:i386 3.5.39 3.5.39
2016-04-20 22:03:21 status half-configured base-passwd:i386 3.5.39
2016-04-20 22:03:21 status unpacked base-passwd:i386 3.5.39
2016-04-20 22:03:21 status half-installed base-passwd:i386 3.5.39
2016-04-20 22:03:21 status half-installed base-passwd:i386 3.5.39
2016-04-20 22:03:21 status unpacked base-passwd:i386 3.5.39
2016-04-20 22:03:21 status unpacked base-passwd:i386 3.5.39
2016-04-20 22:03:21 install bash:i386 <none> 4.3-14ubuntu1
2016-04-20 22:03:21 status half-installed bash:i386 4.3-14ubuntu1
2016-04-20 22:03:21 status unpacked bash:i386 4.3-14ubuntu1
2016-04-20 22:03:21 status unpacked bash:i386 4.3-14ubuntu1
2016-04-20 22:03:21 install bsdutils:i386 <none> 1:2.27.1-6ubuntu3
2016-04-20 22:03:21 status half-installed bsdutils:i386 1:2.27.1-6ubuntu3
2016-04-20 22:03:21 status unpacked bsdutils:i386 1:2.27.1-6ubuntu3
2016-04-20 22:03:21 status unpacked bsdutils:i386 1:2.27.1-6ubuntu3
2016-04-20 22:03:21 install coreutils:i386 <none> 8.25-2ubuntu2
2016-04-20 22:03:21 status half-installed coreutils:i386 8.25-2ubuntu2
2016-04-20 22:03:21 status unpacked coreutils:i386 8.25-2ubuntu2
2016-04-20 22:03:21 status unpacked coreutils:i386 8.25-2ubuntu2
2016-04-20 22:03:21 install dash:i386 <none> 0.5.8-2.1ubuntu2
2016-04-20 22:03:21 status half-installed dash:i386 0.5.8-2.1ubuntu2
2016-04-20 22:03:21 status unpacked dash:i386 0.5.8-2.1ubuntu2
2016-04-20 22:03:21 status unpacked dash:i386 0.5.8-2.1ubuntu2
2016-04-20 22:03:21 install debconf:all <none> 1.5.58ubuntu1
2016-04-20 22:03:21 status half-installed debconf:all 1.5.58ubuntu1
2016-04-20 22:03:21 status unpacked debconf:all 1.5.58ubuntu1
2016-04-20 22:03:21 status unpacked debconf:all 1.5.58ubuntu1
2016-04-20 22:03:21 install debianutils:i386 <none> 4.7
2016-04-20 22:03:21 status half-installed debianutils:i386 4.7
2016-04-20 22:03:21 status unpacked debianutils:i386 4.7
2016-04-20 22:03:21 status unpacked debianutils:i386 4.7
2016-04-20 22:03:21 install diffutils:i386 <none> 1:3.3-3
2016-04-20 22:03:21 status half-installed diffutils:i386 1:3.3-3
2016-04-20 22:03:21 status unpacked diffutils:i386 1:3.3-3
2016-04-20 22:03:21 status unpacked diffutils:i386 1:3.3-3
2016-04-20 22:03:21 upgrade dpkg:i386 1.18.4ubuntu1 1.18.4ubuntu1
2016-04-20 22:03:21 status half-configured dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:21 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:21 status half-installed dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:21 status half-installed dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:21 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:21 status unpacked dpkg:i386 1.18.4ubuntu1
2016-04-20 22:03:21 install e2fslibs:i386 <none> 1.42.13-1ubuntu1
2016-04-20 22:03:21 status half-installed e2fslibs:i386 1.42.13-1ubuntu1
2016-04-20 22:03:21 status unpacked e2fslibs:i386 1.42.13-1ubuntu1
2016-04-20 22:03:21 status unpacked e2fslibs:i386 1.42.13-1ubuntu1
2016-04-20 22:03:21 install e2fsprogs:i386 <none> 1.42.13-1ubuntu1
2016-04-20 22:03:21 status half-installed e2fsprogs:i386 1.42.13-1ubuntu1
2016-04-20 22:03:21 status unpacked e2fsprogs:i386 1.42.13-1ubuntu1
2016-04-20 22:03:21 status unpacked e2fsprogs:i386 1.42.13-1ubuntu1
2016-04-20 22:03:21 install findutils:i386 <none> 4.6.0+git+20160126-2
2016-04-20 22:03:21 status half-installed findutils:i386 4.6.0+git+20160126-2
2016-04-20 22:03:21 status unpacked findutils:i386 4.6.0+git+20160126-2
